Title,MaxPlayers,Genre,ReviewScore,Sales,UsedPrice,Console,Rating,Year,PlayLength
AC/DC Live: Rock Band - Track Pack,4,Action / Simulation,63,0.19,14.95,X360,M,2008,3.933333333
AC/DC Live: Rock Band - Track Pack,1,Action / Simulation,60,0.19,14.95,PS3,E,2008,3.933333333
Ace Combat 6: Fires of Liberation,1,Action / Simulation,80,0.58,19.95,X360,E,2007,13.75
Ace Combat X: Skies of Deception,1,Action / Simulation,75,0.32,22.95,PSP,E,2006,4.116666667
Advance Wars: Days of Ruin,4,Strategy,86,0.43,17.95,DS,E,2008,22
Advance Wars: Dual Strike,1,Strategy,90,0.3,17.95,DS,T,2005,27.83333333
Afrika,1,Adventure / Simulation,63,0.1,47.95,PS3,T,2008,30.43333333
After Burner: Black Falcon,1,Action,73,0.01,19.95,PSP,M,2007,-1
Agatha Christie: And Then There Were None,1,Adventure,50,0.05,17.95,Wii,M,2008,7.5
Agatha Christie: Evil Under the Sun,1,Adventure,46,0.05,17.95,Wii,M,2008,7.616666667
Age of Empires: Mythologies,1,Strategy,78,0.17,17.95,DS,T,2008,16.6
Age of Empires: The Age of Kings,1,Strategy,80,0.19,17.95,DS,T,2006,50
Alex Rider: Stormbreaker,1,Action / Adventure,48,0.05,12.95,DS,M,2006,6.5
Alien Syndrome,1,Action,51,0.07,12.95,PSP,E,2007,3
Alien Syndrome,4,Action,48,0.06,12.95,Wii,E,2007,3
Aliens Vs Predator: Requiem,2,Action,49,0.03,17.95,PSP,T,2007,-1
All-Pro Football 2K8,4,Sports,75,0.24,7.95,X360,T,2007,12
All-Pro Football 2K8,6,Sports,73,0.14,9.95,PS3,T,2007,12
Alone in the Dark,1,Action / Adventure / Racing / Driving,58,0.12,14.95,X360,M,2008,6.116666667
Alone in the Dark,1,Action / Adventure / Racing / Driving,39,0.09,14.95,Wii,T,2008,6.116666667
Amped 3,1,Sports,72,0.13,14.95,X360,E,2005,9
Animal Crossing: City Folk,1,Simulation,73,1.78,29.95,Wii,T,2008,65
Animal Crossing: Wild World,1,Simulation,86,2.6,24.95,DS,T,2005,80.53333333
Anubis II,1,Action,19,0.04,9.95,Wii,M,2007,-1
Ape Escape Academy,4,Action / Sports,51,0.13,14.95,PSP,E,2004,1.883333333
Apollo Justice: Ace Attorney,1,Adventure / Simulation,78,0.24,24.95,DS,T,2008,19.93333333
Arkanoid DS,1,Strategy,61,0.03,16.95,DS,E,2007,-1
Armored Core 4,2,Action,65,0.09,19.95,PS3,E,2006,20
Armored Core 4,2,Action,65,0.19,17.95,X360,E,2007,20
Armored Core: For Answer,1,Action,62,0.05,29.95,PS3,M,2008,14.5
Armored Core: For Answer,1,Action,64,0.05,24.95,X360,T,2008,14.5
Armored Core: Formula Front - Extreme Battle,1,Action / Strategy,66,0.05,16.95,PSP,E,2004,-1
Army of Two,2,Action,72,1.12,16.95,X360,T,2008,6.75
Army of Two,2,Action,74,0.75,16.95,PS3,T,2008,6.75
Asphalt: Urban GT,1,Racing / Driving / Simulation,60,0.11,14.95,DS,E,2004,12.4
Assassin's Creed,1,Action,81,3.17,16.95,X360,T,2007,17
Assassin's Creed,1,Action,81,1.77,17.95,PS3,T,2007,17
Assassin's Creed: Altar's Chronicles,1,Action,58,0.03,11.95,DS,T,2008,4.866666667
Astonishia Story,1,Role-Playing (RPG) / Strategy,48,0.03,16.95,PSP,T,2006,19.15
ATV Offroad Fury: Blazin' Trails,4,Racing / Driving / Sports,63,0.56,12.95,PSP,T,2005,-1
ATV Quad Frenzy,1,Racing / Driving / Sports,35,0.11,14.95,DS,T,2005,-1
Avalon Code,1,Action / Adventure / Role-Playing (RPG),71,0.1,27.95,DS,M,2008,23.85
Avatar: The Last Airbender,1,Action,64,0.3,17.95,DS,E,2006,5
Avatar: The Last Airbender,1,Action,57,0.11,17.95,PSP,E,2006,5
B-Boy,1,Action,50,0.03,17.95,PSP,E,2006,-1
Baja: Edge of Control,4,Racing / Driving / Simulation / Sports,65,0.11,16.95,X360,T,2008,-1
Baja: Edge of Control,4,Racing / Driving / Simulation / Sports,61,0.09,17.95,PS3,M,2008,-1
Bangai-O Spirits,1,Action,83,0.05,14.95,DS,M,2008,10.5
Banjo-Kazooie: Nuts & Bolts,1,Action / Adventure / Racing / Driving / Sports,79,0.31,17.95,X360,E,2008,19.45
Barnyard,1,Action / Adventure,65,0.04,17.95,Wii,T,2007,-1
Baroque,1,Action / Role-Playing (RPG),50,0.04,19.95,Wii,T,2008,7.783333333
Battle Fantasia,2,Action / Role-Playing (RPG),71,0.05,22.95,X360,M,2008,1.05
Battle of the Bands,2,Action / Simulation,58,0.08,14.95,Wii,T,2008,-1
Battlefield 2: Modern Combat,4,Action,77,0.36,16.95,X360,E,2005,6.933333333
Battlefield: Bad Company,1,Action,83,0.83,16.95,X360,E,2008,7
Battlefield: Bad Company,1,Action,84,0.76,17.95,PS3,T,2008,7
Battles of Prince of Persia,1,Strategy,64,0.09,14.95,DS,E,2005,8
Battlestations: Midway,1,Action / Strategy,73,0.21,17.95,X360,T,2007,8.716666667
BattleZone,1,Action,57,0.03,14.95,PSP,E,2006,-1
Beautiful Katamari,1,Action,73,0.11,17.95,X360,M,2007,6
Bee Movie Game,1,Adventure,58,0.44,17.95,DS,E,2007,5.633333333
Bee Movie Game,2,Action,62,0.32,14.95,Wii,E,2007,5.633333333
Bee Movie Game,2,Action,71,0.15,12.95,X360,T,2007,5.633333333
Beijing 2008,4,Sports,60,0.15,14.95,X360,T,2008,5.5
Ben 10: Protector of the Earth,1,Action,63,0.57,16.95,Wii,T,2007,4.55
Ben 10: Protector of the Earth,1,Action,60,0.19,16.95,PSP,T,2007,4.55
Beowulf: The Game,1,Action,51,0.36,12.95,X360,E,2007,8.083333333
Beowulf: The Game,1,Action,51,0.12,12.95,PS3,T,2007,8.083333333
Big Brain Academy,1,Action,74,1.77,16.95,DS,E,2005,7.133333333
Big Brain Academy: Wii Degree,8,Action,68,1.1,19.95,Wii,M,2007,20
Bionicle Heroes,1,Action,72,0.06,16.95,DS,T,2006,12.88333333
Bionicle Heroes,1,Action,59,0.06,14.95,X360,T,2006,12.88333333
Bionicle Heroes,1,Action,52,0.03,17.95,Wii,T,2007,12.88333333
BioShock,1,Action,96,1.52,16.95,X360,T,2007,13.5
BioShock,1,Action,94,0.53,17.95,PS3,E,2008,13.5
BlackSite: Area 51,1,Action,62,0.29,17.95,X360,E,2007,5.8
BlackSite: Area 51,1,Action,56,0.07,17.95,PS3,E,2007,5.8
Blade Dancer: Lineage of Light,1,Role-Playing (RPG),60,0.06,16.95,PSP,E,2006,29.5
Bladestorm: The Hundred Years' War,1,Action / Role-Playing (RPG) / Strategy,58,0.1,44.95,PS3,E,2007,51.25
Bladestorm: The Hundred Years' War,1,Action / Role-Playing (RPG) / Strategy,63,0.08,34.95,X360,T,2007,51.25
Blast Works: Build /  Trade /  Destroy,4,Action,78,0.07,14.95,Wii,T,2008,-1
Blazing Angels 2: Secret Missions of WWII,2,Action,72,0.09,16.95,X360,M,2007,12.5
Blazing Angels 2: Secret Missions of WWII,2,Action,70,0.08,22.95,PS3,T,2007,12.5
Blazing Angels: Squadrons of WWII,2,Action,66,0.37,16.95,X360,E,2006,-1
Blazing Angels: Squadrons of WWII,2,Action,67,0.35,16.95,PS3,T,2006,-1
Blazing Angels: Squadrons of WWII,2,Action,57,0.75,16.95,Wii,E,2007,-1
Bleach: The Blade of Fate,1,Action,83,0.31,17.95,DS,E,2007,9
Blitz: The League,2,Sports,69,0.14,14.95,X360,T,2006,15
Blitz: The League II,2,Action / Sports,62,0.09,14.95,PS3,M,2008,20
Blitz: The League II,2,Action / Sports,68,0.07,12.95,X360,M,2008,20
Blue Dragon,1,Role-Playing (RPG),79,0.27,14.95,X360,T,2006,51.71666667
Bomberman,1,Strategy,75,0.11,17.95,DS,E,2005,3.2
Bomberman,1,Action / Strategy,73,0.15,12.95,PSP,M,2008,3.2
Bomberman Land,4,Action,57,0.12,19.95,Wii,T,2008,-1
Bomberman Land Touch!,1,Action,78,0.04,24.95,DS,E,2006,15
Bomberman: Act Zero,1,Action,34,0.04,12.95,X360,E,2006,-1
Boogie,2,Action,57,0.45,17.95,Wii,T,2007,-1
Boom Blox,4,Action / Strategy,85,0.72,24.95,Wii,T,2008,7
Bounty Hounds,1,Action / Strategy,63,0.03,17.95,PSP,T,2006,-1
Brain Age: Train Your Brain in Minutes a Day!,1,Action,77,5.07,17.95,DS,M,2005,1
Brain Agey: More Training in Minutes a Day!,1,Action,77,3.65,17.95,DS,E,2005,15
Brave Story: New Traveler,1,Role-Playing (RPG),76,0.11,17.95,PSP,T,2007,25.25
Break 'em All,1,Action,68,0.12,17.95,DS,T,2005,-1
Brooktown High,1,Simulation,51,0.08,16.95,PSP,T,2007,-1
Brothers in Arms DS,1,Action,72,0.04,17.95,DS,E,2007,5
Brothers in Arms: D-Day,1,Action,65,0.19,6.95,PSP,T,2006,8
Brothers in Arms: Double Time,1,Action / Strategy,45,0.1,17.95,Wii,E,2008,-1
Brothers in Arms: Hell's Highway,1,Action,76,0.47,17.95,X360,E,2008,8.1
Brothers in Arms: Hell's Highway,1,Action,76,0.42,19.95,PS3,T,2008,8.1
Bubble Bobble Double Shot,1,Action,50,0.04,17.95,DS,E,2007,-1
Bubble Bobble Evolution,1,Action,47,0.03,12.95,PSP,E,2006,-1
Bubble Bobble Revolution,1,Action,38,0.04,17.95,DS,M,2005,-1
Bullet Witch,1,Action,55,0.06,16.95,X360,M,2006,7.5
Bully: Scholarship Edition,1,Action / Adventure,80,0.53,17.95,X360,T,2008,17.35
Bully: Scholarship Edition,2,Action / Adventure,83,0.16,17.95,Wii,E,2008,17.35
Burnout Dominator,4,Action / Racing / Driving,76,0.02,17.95,PSP,T,2007,18.36666667
Burnout Legends,1,Action / Racing / Driving,86,0.68,14.95,PSP,T,2005,12
Burnout Legends,1,Action / Racing / Driving,38,0.16,17.95,DS,E,2005,12
Burnout Paradise,1,Action / Racing / Driving,87,1.01,17.95,PS3,T,2008,20
Bust-a-Move Deluxe,2,Strategy,73,0.14,14.95,PSP,M,2006,-1
Bust-a-Move DS,1,Action / Strategy,75,0.09,17.95,DS,E,2005,-1
BWii: Battalion Wars 2,1,Action / Simulation / Strategy,75,0.21,14.95,Wii,T,2007,9.716666667
Cabela's African Safari,1,Sports,53,0.1,17.95,X360,E,2006,-1
Cabela's Alaskan Adventures,1,Sports,48,0.1,17.95,X360,E,2006,20
Cabela's Big Game Hunter,1,Simulation / Sports,51,0.04,19.95,X360,E,2007,4
Cabela's Dangerous Hunts 2009,1,Sports,42,0.13,19.95,X360,M,2008,-1
Cake Mania,1,Action,55,0.08,16.95,DS,M,2007,5.866666667
Call of Duty 2,4,Action,89,1.69,17.95,X360,E,2005,9
Call of Duty 3,2,Action,82,1.51,16.95,X360,T,2006,8.45
Call of Duty 3,1,Action,69,1.15,19.95,Wii,E,2006,8.45
Call of Duty 3,1,Action,80,0.52,19.95,PS3,T,2006,8.45
Call of Duty 4: Modern Warfare,4,Action,94,5.77,29.95,X360,E,2007,7
Call of Duty 4: Modern Warfare,4,Action,94,2.91,24.95,PS3,E,2007,7
Call of Duty 4: Modern Warfare,1,Action,75,0.94,19.95,DS,T,2007,7
Call of Duty: Roads to Victory,1,Action,64,0.51,24.95,PSP,E,2007,6.25
Call of Duty: World at War,4,Action,84,4.58,29.95,X360,E,2008,8
Call of Duty: World at War,4,Action,85,2.53,29.95,PS3,T,2008,8
Call of Duty: World at War,2,Action,83,1.17,29.95,Wii,M,2008,8
Call of Juarez,1,Action,71,0.15,14.95,X360,E,2007,8.2
Capcom Classics Collection Reloaded,1,Action,75,0.26,17.95,PSP,T,2006,-1
Capcom Classics Collection Remixed,1,Action,72,0.28,17.95,PSP,E,2005,35.66666667
Capcom Puzzle World,1,Strategy,65,0.01,19.95,PSP,M,2007,-1
Cartoon Network Racing,1,Racing / Driving,55,0.05,14.95,DS,E,2006,14.86666667
Castlevania Judgment,2,Action,49,0.09,17.95,Wii,T,2008,6
Castlevania: Dawn of Sorrow,1,Action / Role-Playing (RPG),89,0.31,17.95,DS,T,2005,13
Castlevania: Order of Ecclesia,1,Action / Adventure / Role-Playing (RPG),85,0.24,24.95,DS,T,2008,13.33333333
Castlevania: Portrait of Ruin,1,Action,85,0.3,17.95,DS,M,2006,12
Castlevania: The Dracula X Chronicles,2,Action,80,0.21,16.95,PSP,E,2007,7.5
Chicken Hunter,1,Action,39,0.02,17.95,DS,T,2008,1.5
Chicken Shoot,2,Action,27,0.26,12.95,Wii,E,2007,0.616666667
Children of Mana,1,Action / Role-Playing (RPG),65,0.16,16.95,DS,E,2006,22.11666667
Chromehounds,1,Action / Simulation / Strategy,71,0.25,14.95,X360,T,2006,16
Chrono Trigger,2,Role-Playing (RPG),92,0.51,17.95,DS,T,2008,25
Clubhouse Games,1,Strategy,83,0.61,17.95,DS,E,2005,20
Code Lyoko,1,Action / Adventure,63,0.03,11.95,DS,T,2007,7
Code Lyoko: Fall of X.A.N.A,1,Action / Role-Playing (RPG),51,0.06,14.95,DS,M,2008,15.15
Code Lyoko: Quest for Infinity,1,Action,58,0.07,17.95,Wii,T,2007,5.8
Coded Arms,1,Action,59,0.3,12.95,PSP,M,2005,6
Coded Arms: Contagion,1,Action,56,0.06,14.95,PSP,E,2007,10
College Hoops 2K6,1,Sports,70,0.11,6.95,X360,E,2006,1.566666667
College Hoops 2K7,4,Sports,82,0.19,6.95,X360,T,2006,-1
College Hoops 2K7,6,Sports,81,0.16,6.95,PS3,E,2007,-1
College Hoops 2K8,1,Sports,81,0.15,9.95,X360,M,2007,-1
College Hoops 2K8,7,Sports,82,0.12,12.95,PS3,M,2007,-1
Command & Conquer 3: Kane's Wrath,1,Strategy,75,0.15,17.95,X360,M,2008,9.5
Command & Conquer 3: Tiberium Wars,1,Strategy,82,0.35,24.95,X360,T,2007,25
Command & Conquer: Red Alert 3,1,Strategy,77,0.16,14.95,X360,T,2008,11.36666667
Conan,1,Action / Adventure,69,0.14,17.95,PS3,E,2007,6
Conan,1,Action / Adventure,69,0.14,14.95,X360,E,2007,6
Condemned 2: Bloodshot,1,Action / Adventure,80,0.29,14.95,X360,T,2008,9.5
Condemned 2: Bloodshot,1,Action / Adventure,82,0.16,14.95,PS3,T,2008,9.5
Condemned: Criminal Origins,1,Action / Adventure,81,0.33,14.95,X360,E,2005,7.55
Conflict: Denied Ops,4,Action,52,0.09,12.95,X360,T,2008,5.666666667
Conflict: Denied Ops,4,Action,51,0.05,17.95,PS3,E,2008,5.666666667
Contact,1,Adventure / Role-Playing (RPG),73,0.07,14.95,DS,E,2006,14.58333333
Contra 4,1,Action,83,0.27,17.95,DS,T,2007,3.116666667
Cooking Mama,1,Simulation,67,2.9,17.95,DS,M,2006,7
Cooking Mama 2: Dinner with Friends,1,Simulation,70,1.56,17.95,DS,E,2007,5.183333333
Cooking Mama: Cook Off,2,Simulation,61,1.38,14.95,Wii,M,2007,3.4
Crackdown,1,Action / Racing / Driving / Role-Playing (RPG),83,1.02,14.95,X360,M,2007,12.33333333
Cradle of Rome,1,Strategy,63,0.04,17.95,DS,E,2008,-1
Crash of the Titans,1,Action,73,0.46,17.95,DS,T,2007,8
Crash of the Titans,2,Action,69,0.42,17.95,Wii,E,2007,8
Crash of the Titans,2,Action,65,0.29,17.95,X360,E,2007,8
Crash: Mind over Mutant,1,Action,70,0.36,17.95,Wii,E,2008,5.55
Crash: Mind over Mutant,1,Action,60,0.22,24.95,X360,M,2008,5.55
Crazy Taxi: Fare Wars,1,Action / Racing / Driving,64,0.1,17.95,PSP,E,2007,-1
CrossworDS,1,Educational / Strategy,67,0.53,17.95,DS,T,2007,17.2
Crush,1,Action,83,0.08,16.95,PSP,E,2007,6.6
Cube,1,Strategy,60,0.02,17.95,PSP,T,2007,-1
Culdcept Saga,4,Strategy,75,0.12,17.95,X360,T,2008,47.61666667
Custom Robo Arena,1,Action / Role-Playing (RPG),74,0.01,17.95,DS,T,2006,20.61666667
Dance Dance Revolution Hottest Party,4,Action,73,1.45,17.95,Wii,T,2007,8
Dance Dance Revolution Universe 2,4,Action,65,0.48,19.95,X360,T,2007,8
Dark Messiah of Might and Magic: Elements,1,Action / Role-Playing (RPG),52,0.13,17.95,X360,T,2008,12
Dark Sector,1,Action,72,0.23,14.95,PS3,T,2008,8.566666667
Dark Sector,1,Action,72,0.21,13.95,X360,M,2008,8.566666667
Darkstalkers Chronicle: The Chaos Tower,1,Action,74,0.14,14.95,PSP,E,2004,2
Daxter,1,Action,85,2.38,14.95,PSP,T,2006,8
De Blob,4,Action,82,0.45,16.95,Wii,M,2008,10
Dead Head Fred,1,Action,75,0.03,12.95,PSP,E,2007,9.9
Dead or Alive 4,4,Action,85,0.38,17.95,X360,E,2005,6
Dead or Alive: Xtreme 2,1,Racing / Driving / Sports,53,0.13,14.95,X360,T,2006,1
Dead Rising,1,Action,85,1.16,16.95,X360,E,2006,15
Dead Space,1,Action,88,0.96,17.95,PS3,M,2008,12
Dead to Rights: Reckoning,1,Action,54,0.13,14.95,PSP,E,2005,2.916666667
Deal or No Deal,1,Strategy,20,1.1,11.95,DS,E,2007,0.116666667
Death Jr.,1,Action,61,0.19,9.95,PSP,M,2005,3.533333333
Death Jr. and the Science Fair of Doom,1,Action,47,0.07,12.95,DS,M,2007,-1
Death Jr. II: Root of Evil,2,Action,68,0.05,14.95,PSP,E,2006,9.7
Death Jr. II: Root of Evil,2,Action,71,0.09,17.95,Wii,E,2008,9.7
Deep Labyrinth,1,Role-Playing (RPG),57,0.06,10.95,DS,T,2006,13.56666667
Def Jam Fight for NY: The Takeover,1,Action,79,0.09,17.95,PSP,T,2006,5.15
Def Jam: Icon,2,Action,69,0.32,17.95,X360,M,2007,8
Def Jam: Icon,2,Action,68,0.16,16.95,PS3,E,2007,8
Dementium: The Ward,1,Action,72,0.15,17.95,DS,M,2007,4
Destroy All Humans! Big Willy Unleashed,2,Adventure,53,0.11,17.95,Wii,T,2008,4.5
Devil May Cry 4,1,Action,84,0.8,17.95,X360,T,2008,12
Devil May Cry 4,1,Action,84,0.56,19.95,PS3,T,2008,12
Diddy Kong Racing DS,1,Racing / Driving / Sports,63,1.16,24.95,DS,T,2007,12.5
Dig Dug: Digging Strike,1,Action,65,0.06,16.95,DS,E,2005,-1
Digimon World DS,1,Role-Playing (RPG),49,0.08,27.95,DS,E,2006,32.11666667
Diner Dash,1,Action,64,0.34,17.95,DS,T,2007,5
DiRT,1,Racing / Driving / Simulation / Sports,83,0.39,17.95,X360,E,2007,13
DiRT,1,Racing / Driving / Simulation / Sports,83,0.16,17.95,PS3,E,2007,13
Disgaea DS,1,Role-Playing (RPG) / Strategy,82,0.1,24.95,DS,M,2008,70.53333333
Disgaea: Afternoon of Darkness,1,Role-Playing (RPG) / Strategy,87,0.15,17.95,PSP,M,2007,59.6
Disney Pirates of the Caribbean: At World's End,1,Action,66,0.27,14.95,DS,T,2007,7
Disney Pirates of the Caribbean: At World's End,2,Action,55,0.15,14.95,PS3,M,2007,7
Dissidia: Final Fantasy,1,Action / Role-Playing (RPG),79,0.49,17.95,PSP,T,2008,50
DK: Jungle Climber,1,Action / Strategy,77,0.26,24.95,DS,T,2007,6
Dokapon Kingdom,1,Role-Playing (RPG) / Strategy,72,0.12,17.95,Wii,M,2008,25
Don King Presents: Prizefighter,2,Sports,56,0.15,14.95,X360,M,2008,12.85
Donkey Kong Barrel Blast,4,Racing / Driving,46,0.19,29.95,Wii,T,2007,-1
Draglade,1,Action,71,0.1,16.95,DS,M,2007,4.066666667
Dragon Ball Z: Budokai Tenkaichi 2,2,Action,72,0.24,14.95,Wii,E,2006,14.6
Dragon Ball Z: Budokai Tenkaichi 3,2,Action,72,0.33,17.95,Wii,E,2007,15
Dragon Ball Z: Burst Limit,2,Action,72,0.24,17.95,X360,E,2008,6
Dragon Ball Z: Burst Limit,2,Action,71,0.22,19.95,PS3,M,2008,6
Dragon Ball Z: Harukanaru Densetsu,1,Strategy,57,0.2,14.95,DS,T,2007,-1
Dragon Ball Z: Shin Budokai - Another Road,1,Action,65,0.27,16.95,PSP,E,2007,8.35
Dragon Ball Z: Supersonic Warriors 2,1,Action,66,0.13,22.95,DS,E,2005,14.7
Dragon Ball: Origins,1,Action / Adventure,78,0.08,15.95,DS,M,2008,10.78333333
Dragon Quest Heroes: Rocket Slime,1,Action,83,0.13,12.95,DS,T,2005,13.36666667
Dragon Quest IV: Chapters of the Chosen,1,Role-Playing (RPG),80,0.26,24.95,DS,T,2007,30
Dragon Quest Monsters: Joker,1,Role-Playing (RPG),75,0.24,14.95,DS,T,2006,37.65
Dragon Quest Swords: The Masked Queen and the T...,1,Action,65,0.15,16.95,Wii,T,2007,9.3
Dragon Quest V: Hand of the Heavenly Bride,1,Role-Playing (RPG),84,0.12,29.95,DS,T,2008,34
Dragoneer's Aria,1,Role-Playing (RPG),56,0.02,24.95,PSP,E,2007,37.63333333
Drawn to Life,1,Action,73,0.75,17.95,DS,T,2007,14
Dream Pinball 3D,4,Simulation,54,0.1,16.95,Wii,M,2008,-1
Driver: Parallel Lines,1,Action / Racing / Driving,59,0.01,24.95,Wii,E,2007,11.5
Dungeon Explorer: Warriors of Ancient Arts,1,Action / Role-Playing (RPG),60,0.05,17.95,DS,M,2008,7.833333333
Dungeon Maker: Hunting Ground,1,Action / Role-Playing (RPG),70,0.02,14.95,PSP,E,2006,-1
Dungeon Siege: Throne of Agony,1,Role-Playing (RPG),74,0.13,24.95,PSP,E,2006,16.83333333
Dynasty Warriors,1,Action / Adventure / Role-Playing (RPG),62,0.2,14.95,PSP,E,2004,2.083333333
Dynasty Warriors 5: Empires,2,Action / Role-Playing (RPG) / Strategy,61,0.1,14.95,X360,T,2006,22.78333333
Dynasty Warriors 6,2,Action / Strategy,59,0.18,24.95,PS3,M,2008,17
Dynasty Warriors 6,2,Action / Strategy,60,0.16,24.95,X360,M,2008,17
Dynasty Warriors DS: Fighter's Battle,1,Action / Strategy,56,0.03,14.95,DS,T,2007,-1
Dynasty Warriors: Gundam,2,Action,60,0.15,22.95,PS3,E,2007,50.8
Dynasty Warriors: Gundam,2,Action,55,0.15,22.95,X360,M,2007,50.8
EA Playground,4,Action / Racing / Driving / Sports,66,0.72,17.95,Wii,T,2007,-1
EA Playground,1,Racing / Driving / Sports,60,0.31,11.95,DS,E,2007,-1
EA Replay,4,Action / Role-Playing (RPG) / Simulation / Sports / Strategy,56,0.07,14.95,PSP,E,2006,-1
Earth Defense Force 2017,2,Action,69,0.03,17.95,X360,T,2006,11
Elebits,4,Action,75,0.22,14.95,Wii,T,2006,9
Electroplankton,1,Simulation,71,0.01,29.95,DS,T,2005,0.5
Elite Beat Agents,1,Action,87,0.27,9.95,DS,M,2006,4.5
Enchanted Arms,1,Role-Playing (RPG),69,0.15,17.95,X360,E,2006,40
Enchanted Arms,1,Role-Playing (RPG),64,0.18,17.95,PS3,E,2007,40
Endless Ocean,1,Simulation,72,0.44,24.95,Wii,E,2007,10.96666667
Enemy Territory: Quake Wars,1,Action,69,0.26,14.95,X360,T,2008,7.916666667
Enemy Territory: Quake Wars,1,Action,60,0.24,16.95,PS3,T,2008,7.916666667
Eragon,1,Action / Role-Playing (RPG),63,0.14,16.95,DS,E,2006,8
Eragon,4,Action,59,0.11,14.95,PSP,E,2006,8
Eragon,2,Action,48,0.09,12.95,X360,T,2006,8
Escape from Bug Island,1,Action,37,0.04,14.95,Wii,T,2007,6.616666667
Eternal Sonata,1,Role-Playing (RPG),79,0.15,27.95,X360,M,2007,33.7
Eternal Sonata,2,Role-Playing (RPG),80,0.14,24.95,PS3,M,2008,33.7
Etrian Odyssey,1,Role-Playing (RPG),75,0.19,24.95,DS,E,2007,54.05
Etrian Odyssey II: Heroes of Lagaard,1,Role-Playing (RPG),82,0.07,24.95,DS,T,2008,53.8
Every Extend Extra,1,Action,74,0.06,11.95,PSP,E,2006,12
Excite Truck,2,Racing / Driving,72,0.4,19.95,Wii,M,2006,14
Exit,1,Action,77,0.05,9.95,PSP,E,2005,6
F.E.A.R. Files,1,Action,66,0.06,17.95,X360,E,2007,10
F.E.A.R.: First Encounter Assault Recon,1,Action,85,0.32,17.95,X360,E,2006,9
F.E.A.R.: First Encounter Assault Recon,1,Action,72,0.18,17.95,PS3,T,2007,9
Fable II,1,Role-Playing (RPG),89,2.55,17.95,X360,E,2008,20
Facebreaker,2,Sports,54,0.16,12.95,X360,M,2008,-1
Facebreaker,2,Sports,53,0.12,14.95,PS3,E,2008,-1
Fading Shadows,1,Action / Adventure,62,0.03,17.95,PSP,E,2008,-1
Fallout 3,1,Action / Role-Playing (RPG),93,2.44,17.95,X360,T,2008,45
Fallout 3,1,Action / Role-Playing (RPG),90,1.48,17.95,PS3,M,2008,45
Family Guy Video Game!,1,Action,51,0.19,19.95,PSP,M,2006,5.883333333
Fantastic Four: Rise of the Silver Surfer,4,Action,47,0.1,14.95,PS3,M,2007,6.416666667
Fantastic Four: Rise of the Silver Surfer,4,Action,45,0.08,14.95,X360,E,2007,6.416666667
Fantastic Four: Rise of the Silver Surfer,4,Action,39,0.04,12.95,Wii,E,2007,6.416666667
Fantastic Four: Rise of the Silver Surfer,1,Action,35,0.04,14.95,DS,E,2007,6.416666667
Far Cry 2,1,Action,85,0.73,19.95,X360,T,2008,23
Far Cry 2,1,Action,85,0.43,19.95,PS3,T,2008,23
Far Cry: Instincts - Predator,4,Action,78,0.19,17.95,X360,E,2006,17.91666667
Far Cry: Vengeance,2,Action,38,0.07,16.95,Wii,E,2006,-1
Feel the Magic XY/XX,1,Action / Adventure / Racing / Driving / Sports,75,0.16,8.95,DS,T,2004,3
Ferrari Challenge Trofeo Pirelli,1,Racing / Driving,71,0.15,17.95,PS3,E,2008,32
Field Commander,2,Strategy,77,0.16,14.95,PSP,T,2006,13.88333333
FIFA Soccer,1,Sports,73,0.12,14.95,PSP,E,2005,-1
FIFA Street 2,1,Sports,58,0.07,17.95,PSP,T,2006,20
FIFA Street 3,4,Sports,63,0.07,14.95,X360,T,2008,5.5
FIFA Street 3,1,Sports,63,0.06,17.95,PS3,T,2008,5.5
Fight Night Round 3,2,Action / Sports,86,1.4,14.95,X360,E,2006,11
Fight Night Round 3,2,Action / Sports,83,0.86,13.95,PS3,T,2006,11
Fight Night Round 3,2,Action / Simulation / Sports,74,0.48,16.95,PSP,T,2006,11
Final Fantasy,1,Role-Playing (RPG),67,0.35,17.95,PSP,T,2007,20
Final Fantasy Fables: Chocobo Tales,1,Action,75,0.1,17.95,DS,M,2007,12.25
Final Fantasy Fables: Chocobo's Dungeon,1,Action / Role-Playing (RPG),76,0.09,17.95,Wii,M,2008,25
Final Fantasy II,1,Role-Playing (RPG),63,0.31,17.95,PSP,E,2007,28
Final Fantasy III,1,Role-Playing (RPG),77,0.86,17.95,DS,E,2006,44
Final Fantasy IV,1,Role-Playing (RPG),85,0.48,17.95,DS,T,2007,35.38333333
Final Fantasy Tactics,1,Role-Playing (RPG) / Strategy,88,0.44,17.95,PSP,M,2007,50
Final Fantasy Tactics A2: Grimoire of the Rift,1,Role-Playing (RPG) / Strategy,80,0.36,17.95,DS,E,2007,75
Final Fantasy XI Online,1,Action / Role-Playing (RPG),66,0.18,4.95,X360,E,2006,-1
Final Fantasy XII: Revenant Wings,1,Role-Playing (RPG) / Strategy,81,0.33,19.95,DS,T,2007,30.98333333
Final Fantasy: Crystal Chronicles - Echoes of Time,1,Action,75,0.11,24.95,DS,T,2007,18.36666667
Fire Emblem: Radiant Dawn,1,Role-Playing (RPG) / Strategy,78,0.26,34.95,Wii,T,2007,47.83333333
Fire Emblem: Shadow Dragon,1,Role-Playing (RPG) / Strategy,81,0.25,19.95,DS,M,2008,21.85
